,GroupName,ContestantName,PartyName,TotalVotes,ContestantVotePercent
0,District Court Judge- District 1,Cynthia K.C. Meyer,Non Partisan,36608,100.00%
1,District Court Judge- District 1,John T. Mitchell,Non Partisan,36981,100.00%
2,District Court Judge- District 1,Lamont Christian Berecz,Non Partisan,34970,100.00%
3,Supreme Court Justice,Colleen D. Zahn,Non Partisan,218919,100.00%
4,Court of Appeals Judge,Molly J. Huskey,Non Partisan,219596,100.00%
5,District Court Judge- District 1,Barbara Buchanan,Non Partisan,36057,100.00%
6,Supreme Court Justice,Robyn Brody,Non Partisan,218679,100.00%
7,District Court Judge- District 1,Barry McHugh,Non Partisan,37022,100.00%
8,District Court Judge- District 1,Rich Christensen,Non Partisan,25246,60.62%
9,District Court Judge- District 1,Stanley T. Mortensen,Non Partisan,16397,39.38%
10,District Court Judge- District 4,Cynthia Yee-Wallace,Non Partisan,60498,100.00%
11,District Court Judge- District 2,Adam H. Green,Non Partisan,14486,100.00%
12,District Court Judge- District 2,John H Bradbury,Non Partisan,6655,38.58%
13,District Court Judge- District 2,Justin J. Coleman,Non Partisan,3940,22.84%
14,District Court Judge- District 2,Michelle M. Evans,Non Partisan,6653,38.57%
15,District Court Judge- District 4,James S. Cawthon,Non Partisan,59544,100.00%
16,District Court Judge- District 4,Jason D. Scott,Non Partisan,59359,100.00%
17,District Court Judge- District 2,John C. Judge,Non Partisan,14433,100.00%
18,District Court Judge- District 3,Andrea L Courtney,Non Partisan,31692,100.00%
19,District Court Judge- District 3,Davis F. VanderVelde,Non Partisan,31408,100.00%
20,District Court Judge- District 3,Gene A. Petty,Non Partisan,31298,100.00%
21,District Court Judge- District 4,Jonathan Medema,Non Partisan,58955,100.00%
22,District Court Judge- District 3,Shari Dodge,Non Partisan,13871,39.87%
23,District Court Judge- District 3,Thomas W. Whitney,Non Partisan,20919,60.13%
24,District Court Judge- District 4,Lynn G. Norton,Non Partisan,59032,100.00%
25,District Court Judge- District 4,Michael J Reardon,Non Partisan,59472,100.00%
26,District Court Judge- District 4,Nancy A. Baskin,Non Partisan,59266,100.00%
27,District Court Judge- District 4,Patrick Miller,Non Partisan,58961,100.00%
28,District Court Judge- District 4,Peter G Barton,Non Partisan,58750,100.00%
29,District Court Judge- District 4,Samuel A. Hoagland,Non Partisan,59137,100.00%
30,District Court Judge- District 4,Steven Hippler,Non Partisan,58977,100.00%
31,District Court Judge- District 5,Benjamin J. Cluff,Non Partisan,24013,100.00%
32,District Court Judge- District 5,Eric J. Wildman,Non Partisan,24029,100.00%
33,District Court Judge- District 5,Jonathan P. Brody,Non Partisan,23984,100.00%
34,District Court Judge- District 5,Michael Patrick Tribe,Non Partisan,23967,100.00%
35,District Court Judge- District 5,Ned Williamson,Non Partisan,24090,100.00%
36,District Court Judge- District 5,Roger B. Harris,Non Partisan,24384,100.00%
37,District Court Judge- District 5,Rosemary Emory,Non Partisan,23879,100.00%
38,District Court Judge- District 6,Javier L Gabiola,Non Partisan,14567,100.00%
39,District Court Judge- District 6,Mitchell W. Brown,Non Partisan,14962,100.00%
40,District Court Judge- District 6,Robert C. Naftz,Non Partisan,14506,100.00%
41,District Court Judge- District 6,"Rudolph ""Rick"" Carnaroli",Non Partisan,14803,100.00%
42,District Court Judge- District 7,Bruce L. Pickett,Non Partisan,33804,100.00%
43,District Court Judge- District 7,Dane H. Watkins Jr.,Non Partisan,33649,100.00%
44,District Court Judge- District 7,Darren B. Simpson,Non Partisan,33288,100.00%
45,District Court Judge- District 7,Stevan H Thompson,Non Partisan,33180,100.00%
46,District Court Judge- District 7,Steven W. Boyce,Non Partisan,33393,100.00%
47,United States Senator,Ray J. Writz,Constitution Party,508,100.00%
48,United States Senator,Ben Pursley,Democratic Party,13877,42.20%
49,United States Senator,David Roth,Democratic Party,19007,57.80%
50,United States Senator,Idaho Sierra Law (Also known as Carta Reale Sierra),Libertarian Party,666,100.00%
51,United States Senator,Brenda Bourn,Republican Party,21408,8.17%
52,United States Senator,Mike Crapo,Republican Party,175699,67.06%
53,United States Senator,Natalie M Fleming,Republican Party,16745,6.39%
54,United States Senator,Scott Trotter,Republican Party,27438,10.47%
55,United States Senator,Ramont Turnbull,Republican Party,20723,7.91%
56,United States Representative District 1,Kaylee Peterson,Democratic Party,14873,100.00%
57,United States Representative District 1,Joe Evans,Libertarian Party,479,100.00%
58,United States Representative District 1,Russ Fulcher,Republican Party,124477,100.00%
59,United State Representative District 2,Wendy Norman,Democratic Party,17020,100.00%
60,United State Representative District 2,Flint L. Christensen,Republican Party,7051,5.77%
61,United State Representative District 2,Daniel Algiers Lucas Levy,Republican Party,2168,1.77%
62,United State Representative District 2,Chris Porter,Republican Party,6299,5.15%
63,United State Representative District 2,Mike Simpson,Republican Party,66739,54.60%
64,United State Representative District 2,Bryan Smith,Republican Party,39971,32.70%
65,Idaho State Governor,Chantyrose Davison,Constitution Party,337,63.95%
66,Idaho State Governor,Write-In,Constitution Party,190,36.05%
67,Idaho State Governor,Stephen Heidt,Democratic Party,24886,80.26%
68,Idaho State Governor,Write-Ins,Democratic Party,6119,19.74%
69,Idaho State Governor,John Dionne Jr.,Libertarian Party,279,39.97%
70,Idaho State Governor,Paul Sand,Libertarian Party,419,60.03%
71,Idaho State Governor,Steven R Bradshaw,Republican Party,5400,1.94%
72,Idaho State Governor,Ben Cannady,Republican Party,794,0.29%
73,Idaho State Governor,Edward R. Humphreys,Republican Party,30734,11.03%
74,Idaho State Governor,Ashley Jackson,Republican Party,3147,1.13%
